origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-06 10:45:34.080,32006734.08,40.3155,-124.388333,31.07,0.68,1008080,0.012482,8.86587058,5.97210106,1.34569216,0.10547066
2022-12-06 11:31:18.840,32009478.84,40.360833,-124.001833,22.1,0.77,1008081,0.013845,16.76477404,7.00809551,4.03727304,0.20056444
2022-12-06 12:37:23.420,32013443.42,40.381667,-124.442167,14.58,1.0,1008082,0.018042,7.22595607,4.90954068,2.89807989,0.2750864
2022-12-06 12:51:51.190,32014311.19,40.329667,-124.4105,30.2,0.67,1008083,0.012339,8.06310076,6.01556353,1.23924117,0.75894374
2022-12-06 13:01:47.630,32014907.63,40.306167,-124.3835,30.35,0.68,1008084,0.012482,7.52040839,6.98922408,1.20795296,0.1556673
2022-12-06 14:13:07.240,32019187.24,40.45,-124.272333,21.78,1.22,nc71129454,0.023243,10.7748261,3.5772292,2.2707685,0.15385449
2022-12-06 15:47:01.900,32024821.9,40.265667,-124.396333,12.1,0.71,1008086,0.012921,9.05980901,7.74343418,4.22400999,0.20650101
2022-12-06 16:07:12.930,32026032.93,40.697167,-124.368667,7.8,0.85,1008087,0.01518,14.7583741,8.00253539,7.06860526,0.18877006
2022-12-06 17:02:14.150,32029334.15,40.568833,-124.405667,8.38,0.62,1008088,0.011649,9.04200463,3.33384061,4.07835603,0.1099925
2022-12-06 18:14:17.460,32033657.46,39.833667,-123.733833,4.2,0.24,1008089,0.007521,17.52524229,15.48908791,8.51280114,0.10986185
2022-12-06 18:29:29.280,32034569.28,40.276167,-124.189167,12.73,0.12,1008090,0.006551,10.45955921,5.92388112,4.06839488,0.14942026
2022-12-06 18:29:53.460,32034593.46,40.264667,-124.172,14.39,0.23,1008091,0.007435,9.2575217,6.04056657,3.78717521,0.12301373
2022-12-06 18:32:33.310,32034753.31,40.262833,-124.163167,15.26,0.51,1008092,0.010263,11.22091481,7.7174683,3.86476905,0.15380847
2022-12-06 20:34:11.390,32042051.39,40.762667,-124.199,20.77,0.86,1008093,0.015356,10.19037457,2.43882548,4.07214503,0.66240895
2022-12-06 20:56:39.160,32043399.16,40.499167,-124.072833,21.38,0.77,1008094,0.013845,15.89131172,4.87480802,4.26085058,0.13795114
2022-12-06 21:08:19.480,32044099.48,40.143667,-123.868333,26.86,1.04,nc73815436,0.018892,14.18284563,6.87244651,2.92669958,0.17286205
2022-12-06 21:51:35.180,32046695.18,40.252,-124.163167,13.92,0.04,1008096,0.005974,12.21732609,8.8603857,4.08348804,0.03168082
2022-12-06 23:32:41.020,32052761.02,40.417833,-124.182333,27.62,0.52,1008097,0.010382,11.41795746,7.26984844,2.48079508,0.18970817
2022-12-07 02:16:49.450,32062609.45,40.694167,-123.474333,32.5,1.66,nc73815531,0.038573,2.19252822,0.68327141,1.24895792,0.1146965
2022-12-07 03:07:11.590,32065631.59,40.7825,-123.961,26.73,0.86,1008099,0.015356,11.22011364,6.14604176,1.96205465,0.08224964
2022-12-07 05:08:36.830,32072916.83,40.377333,-125.130167,24.99,1.28,1008100,0.024905,1.13040145,2.12577984,4.55457366,1.06340742
2022-12-07 05:09:18.330,32072958.33,40.3385,-124.2985,28.99,0.56,1008101,0.010871,10.3975768,6.0128309,1.05746881,0.17099643
2022-12-07 06:59:26.470,32079566.47,40.4285,-124.218833,21.11,0.44,1008102,0.009469,10.65797186,4.43428743,1.50905665,0.32391024
2022-12-07 07:19:21.080,32080761.08,40.292,-124.392,33.44,0.59,1008103,0.011253,9.21715785,9.02486123,2.1199532,0.08743513
2022-12-07 11:06:27.930,32094387.93,40.408667,-124.555,29.29,1.06,1008104,0.019332,5.45137542,2.49122253,1.08490413,0.23378617
2022-12-07 12:32:21.120,32099541.12,40.308333,-124.533667,5.8,1.25,1008105,0.024059,7.34890801,6.08110146,5.19041839,0.45389938
2022-12-07 14:27:42.780,32106462.78,40.266667,-124.382167,31.3,0.51,1008106,0.010263,7.79471538,8.42712077,1.87756541,0.56075001
2022-12-07 16:00:59.390,32112059.39,40.363167,-124.003,20.94,0.71,1008107,0.012921,15.33271084,7.41080362,4.68162768,0.59136927
2022-12-07 19:10:24.850,32123424.85,40.706333,-124.322167,0.63,1.49,1008108,0.031717,10.19551506,2.01759875,7.99815029,1.68305111
