event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1010087,115957,40.583565,-124.130298,22.865,4876.1,2442.2,2138.2,13.4,8.1,12.5,2022,12,21,9,48,30.5,1.09,0,0,35,9,-9.0,0.024,1,2022-12-21T09:48:30.500Z
1013144,115959,40.600301,-124.10599,15.068,6933.5,4300.7,-5658.5,1.2,1.8,1.8,2022,12,28,9,46,28.86,1.31,3,3,29,12,0.0,0.035,1,2022-12-28T09:46:28.860Z
1017202,115960,40.608142,-124.10529,17.814,6992.4,5171.4,-2913.1,10.1,10.4,15.8,2023,4,2,23,2,20.02,1.02,0,0,40,59,-9.0,0.04,1,2023-04-02T23:02:20.020Z
1008926,115961,40.589046,-124.19729,22.273,-796.6,3050.9,1546.1,12.3,7.3,11.9,2022,12,20,16,59,23.8,1.39,0,5,13,11,0.014,0.04,1,2022-12-20T16:59:23.800Z
nc73821186,115962,40.511458,-124.447664,23.441,-22009.2,-5564.9,2714.0,6.7,5.0,6.9,2022,12,20,11,23,43.26,2.53,3,5,8,10,0.008,0.049,1,2022-12-20T11:23:43.260Z
1013881,115963,40.613627,-124.078589,15.891,9252.5,5780.5,-4836.3,5.6,4.3,6.3,2023,1,3,7,23,30.6,1.13,0,0,57,45,-9.0,0.035,1,2023-01-03T07:23:30.600Z
1018244,115964,40.582145,-124.22172,19.407,-2865.3,2284.5,-1319.5,7.0,2.2,6.0,2023,5,5,10,50,40.13,0.86,3,0,58,12,0.001,0.04,1,2023-05-05T10:50:40.130Z
nc73824641,115965,40.546899,-124.337264,16.338,-12652.5,-1629.4,-4389.4,15.2,10.6,20.5,2022,12,25,12,21,40.59,1.9,0,0,44,20,-9.0,0.03,1,2022-12-25T12:21:40.590Z
1015864,115966,40.538607,-123.915828,23.061,23044.2,-2550.2,2333.8,6.9,5.8,7.2,2023,2,16,18,3,27.56,1.53,10,14,63,55,0.014,0.045,1,2023-02-16T18:03:27.560Z
nc73824911,115967,40.520862,-124.355648,21.99,-14212.4,-4520.7,1263.0,5.2,3.6,4.1,2022,12,25,23,13,35.28,1.83,0,0,11,10,-9.0,0.017,1,2022-12-25T23:13:35.280Z
1015537,115968,40.515348,-124.43658,17.609,-21069.5,-5133.0,-3117.7,14.4,16.6,28.9,2023,2,8,14,16,55.2,1.31,0,0,74,63,-9.0,0.03,1,2023-02-08T14:16:55.200Z
1012944,115969,40.531299,-124.404069,18.318,-18313.0,-3361.7,-2408.4,14.5,14.2,20.9,2022,12,26,8,29,16.34,0.84,0,0,40,29,-9.0,0.027,1,2022-12-26T08:29:16.340Z
1014634,115970,40.579777,-124.210832,23.4,-1943.3,2021.6,2673.3,4.9,4.9,7.2,2023,1,20,22,9,27.24,0.94,3,1,0,0,0.002,-9.0,1,2023-01-20T22:09:27.240Z
1013464,115972,40.53995,-124.340186,15.951,-12900.7,-2401.1,-4775.6,12.3,10.1,18.7,2022,12,31,15,5,32.62,1.28,0,0,51,33,-9.0,0.034,1,2022-12-31T15:05:32.620Z
nc73822756,115974,40.582756,-123.957275,24.285,19527.1,2352.3,3557.7,3.2,2.5,4.0,2022,12,21,22,26,11.02,1.39,2,9,46,28,0.004,0.03,1,2022-12-21T22:26:11.020Z
1009425,115976,40.589364,-124.102344,23.71,7242.8,3086.1,2983.3,9.2,4.4,7.8,2022,12,20,23,1,57.68,1.31,0,0,37,24,-9.0,0.045,1,2022-12-20T23:01:57.680Z
1011762,115977,40.552812,-124.226644,17.729,-3282.9,-972.8,-2997.5,4.7,4.1,5.7,2022,12,23,5,1,13.74,1.08,0,0,35,34,-9.0,0.023,1,2022-12-23T05:01:13.740Z
1011659,115978,40.511825,-124.438428,17.391,-21226.6,-5524.3,-3335.8,12.4,12.0,21.1,2022,12,23,0,10,35.69,1.04,0,0,93,74,-9.0,0.033,1,2022-12-23T00:10:35.690Z
1014120,115979,40.515592,-124.420614,17.202,-19716.8,-5105.9,-3525.3,10.2,13.1,18.1,2023,1,8,2,15,56.62,1.14,2,2,58,53,0.008,0.045,1,2023-01-08T02:15:56.620Z
1017761,115980,40.507084,-124.441081,17.806,-21452.1,-6050.7,-2920.6,10.3,9.3,14.9,2023,4,20,15,36,20.16,0.92,0,4,51,50,0.003,0.034,1,2023-04-20T15:36:20.160Z
nc73821726,115983,40.682992,-123.882039,22.658,25878.6,13483.1,1931.4,7.4,6.6,10.7,2022,12,20,16,7,39.07,2.01,0,0,11,5,-9.0,0.02,1,2022-12-20T16:07:39.070Z
1010829,115984,40.543583,-123.752262,21.932,36897.7,-1997.6,1205.4,8.2,5.5,4.0,2022,12,22,0,56,27.15,0.68,3,1,3,0,0.009,0.006,1,2022-12-22T00:56:27.150Z
1012503,115987,40.57393,-124.211589,17.971,-2007.5,1372.3,-2756.1,23.6,7.0,15.3,2022,12,25,3,58,23.19,0.9,0,0,54,25,-9.0,0.031,1,2022-12-25T03:58:23.190Z
1016296,115988,40.510783,-123.862101,22.025,27600.9,-5639.9,1297.9,8.1,5.7,8.1,2023,3,1,0,37,16.88,1.45,10,13,19,20,0.015,0.064,1,2023-03-01T00:37:16.880Z
1014324,115989,40.60481,-124.147445,18.231,3423.6,4801.3,-2496.0,7.9,5.1,7.3,2023,1,14,1,10,27.28,1.46,5,0,39,19,0.021,0.048,1,2023-01-14T01:10:27.280Z
1009270,115990,40.616565,-124.070052,20.073,9975.0,6106.7,-653.6,4.0,3.5,5.9,2022,12,20,21,2,39.64,1.14,1,5,38,36,0.01,0.061,1,2022-12-20T21:02:39.640Z
1014215,115991,40.561149,-123.952458,21.988,19938.2,-47.0,1260.7,5.4,4.6,5.2,2023,1,10,19,11,36.0,1.34,2,1,26,21,0.0,0.04,1,2023-01-10T19:11:36.000Z
1009306,115993,40.610819,-124.080306,16.55,9107.4,5468.7,-4176.7,7.4,7.1,9.1,2022,12,20,21,22,36.88,1.23,0,0,29,17,-9.0,0.029,1,2022-12-20T21:22:36.880Z
1009603,115994,40.58313,-124.204305,20.619,-1390.6,2393.9,-107.5,9.4,7.7,10.9,2022,12,21,1,23,1.88,0.93,2,2,44,33,0.008,0.04,1,2022-12-21T01:23:01.880Z
1008901,115995,40.560234,-124.310433,19.525,-10378.9,-148.7,-1202.1,19.6,7.8,12.6,2022,12,20,16,43,44.37,1.41,4,6,4,25,0.009,0.03,1,2022-12-20T16:43:44.370Z
1009170,115996,40.560291,-124.28453,19.052,-8185.1,-142.3,-1674.9,25.1,15.8,26.0,2022,12,20,19,45,5.28,1.04,0,0,4,2,-9.0,0.023,1,2022-12-20T19:45:05.280Z
1013031,115998,40.517594,-124.358927,19.917,-14490.6,-4883.5,-809.8,17.4,16.2,21.2,2022,12,26,20,22,7.86,1.12,0,0,98,52,-9.0,0.041,1,2022-12-26T20:22:07.860Z
1013909,115999,40.518176,-124.416813,19.219,-19394.4,-4818.9,-1507.9,7.6,9.5,10.1,2023,1,3,14,30,47.75,1.13,0,0,115,94,-9.0,0.034,1,2023-01-03T14:30:47.750Z
1013969,116000,40.575037,-124.207829,17.047,-1689.1,1495.2,-3680.1,6.1,4.0,10.2,2023,1,4,10,27,27.83,1.4,3,0,67,37,0.003,0.04,1,2023-01-04T10:27:27.830Z
1016706,116001,40.509908,-124.43737,19.418,-21137.2,-5737.1,-1308.6,13.0,14.0,22.4,2023,3,16,18,8,14.04,1.34,2,2,75,60,0.002,0.042,1,2023-03-16T18:08:14.040Z
1011268,116002,40.521977,-124.419442,18.516,-19616.6,-4396.9,-2211.0,8.8,10.8,12.6,2022,12,22,10,19,33.52,1.21,0,0,120,87,-9.0,0.032,1,2022-12-22T10:19:33.520Z
1014221,116003,40.520125,-124.424797,18.133,-20070.5,-4602.5,-2594.4,4.8,4.8,6.9,2023,1,11,1,42,23.09,2.03,2,1,139,103,0.0,0.045,1,2023-01-11T01:42:23.090Z
1016971,116005,40.580973,-124.208895,18.408,-1779.3,2154.4,-2319.1,9.7,7.9,13.6,2023,3,25,16,17,15.21,0.9,0,0,57,27,-9.0,0.033,1,2023-03-25T16:17:15.210Z
nc73834456,116007,40.514469,-124.427401,18.708,-20291.9,-5230.6,-2018.5,9.6,7.8,14.6,2023,1,20,8,32,25.39,1.94,0,0,124,119,-9.0,0.037,1,2023-01-20T08:32:25.390Z
1014328,116008,40.595605,-124.116667,16.677,6029.8,3779.2,-4050.0,3.8,5.1,5.1,2023,1,14,6,13,34.01,1.13,0,4,28,25,0.003,0.063,1,2023-01-14T06:13:34.010Z
1011593,116009,40.582751,-124.201538,22.124,-1156.3,2351.9,1397.6,20.6,6.8,12.6,2022,12,22,21,13,37.08,0.95,4,0,35,8,0.01,0.053,1,2022-12-22T21:13:37.080Z
1011631,116010,40.525391,-124.360742,18.925,-14643.5,-4017.8,-1802.2,11.4,10.2,14.7,2022,12,22,22,45,8.9,1.52,0,0,123,34,-9.0,0.03,1,2022-12-22T22:45:08.900Z
1013157,116012,40.524813,-124.346167,19.659,-13408.8,-4082.0,-1067.5,10.8,9.9,12.2,2022,12,28,13,28,43.08,1.64,0,0,113,47,-9.0,0.031,1,2022-12-28T13:28:43.080Z
1014687,116013,40.587093,-124.148657,22.501,3321.4,2834.0,1774.1,20.2,10.5,21.8,2023,1,21,22,3,8.82,1.49,0,0,45,37,-9.0,0.031,1,2023-01-21T22:03:08.820Z
nc73823951,116017,40.523409,-124.405583,18.095,-18442.3,-4237.9,-2631.5,9.9,9.4,19.2,2022,12,24,2,43,19.79,1.79,0,0,58,54,-9.0,0.036,1,2022-12-24T02:43:19.790Z
1015499,116018,40.507707,-124.446647,17.314,-21923.6,-5981.5,-3413.0,11.1,10.1,18.4,2023,2,7,19,48,3.88,1.35,0,0,74,66,-9.0,0.037,1,2023-02-07T19:48:03.880Z
1015914,116019,40.536694,-124.343302,19.594,-13165.0,-2762.6,-1132.4,11.7,9.4,12.8,2023,2,17,23,11,42.88,1.41,0,0,88,36,-9.0,0.042,1,2023-02-17T23:11:42.880Z
nc73822466,116020,40.513672,-124.438232,18.19,-21209.7,-5319.1,-2537.3,4.6,4.7,7.5,2022,12,21,11,33,42.77,2.09,4,12,82,77,0.006,0.037,1,2022-12-21T11:33:42.770Z
1010861,116021,40.516113,-124.416602,17.468,-19376.8,-5048.0,-3258.5,12.2,12.4,14.3,2022,12,22,1,51,31.87,0.96,0,0,22,11,-9.0,0.017,1,2022-12-22T01:51:31.870Z
1011407,116023,40.514111,-124.423682,19.465,-19976.9,-5270.3,-1261.5,9.2,10.4,13.9,2022,12,22,13,45,54.28,0.88,0,0,58,22,-9.0,0.028,1,2022-12-22T13:45:54.280Z
1008587,116027,40.585246,-124.097339,22.348,7666.8,2628.8,1621.4,11.4,12.9,14.8,2022,12,20,13,10,43.79,0.88,0,0,1,3,-9.0,0.01,1,2022-12-20T13:10:43.790Z
1014947,116029,40.513574,-124.436768,18.677,-21085.6,-5330.0,-2049.9,3.4,3.3,5.7,2023,1,27,2,38,13.19,1.41,1,3,159,139,0.001,0.035,1,2023-01-27T02:38:13.190Z
nc73833826,116030,40.519401,-124.41888,16.934,-19569.4,-4682.9,-3793.1,12.7,12.0,21.5,2023,1,19,4,55,2.38,1.72,0,0,54,43,-9.0,0.03,1,2023-01-19T04:55:02.380Z
nc73822411,116031,40.535392,-124.241154,19.629,-4512.5,-2907.2,-1097.6,5.4,3.9,4.7,2022,12,21,9,13,55.52,1.9,1,6,48,52,0.004,0.069,1,2022-12-21T09:13:55.520Z
nc73822451,116033,40.514128,-124.441064,18.261,-21449.6,-5268.5,-2466.0,8.3,7.7,16.4,2022,12,21,10,46,12.65,1.82,0,0,84,70,-9.0,0.031,1,2022-12-21T10:46:12.650Z
1011222,116034,40.594507,-124.192025,20.291,-350.7,3657.2,-436.0,9.2,6.5,15.3,2022,12,22,9,24,48.35,0.91,0,0,15,7,-9.0,0.024,1,2022-12-22T09:24:48.350Z
nc73823781,116035,40.52255,-124.415861,18.556,-19313.1,-4333.2,-2170.5,11.1,7.7,19.5,2022,12,23,19,12,41.24,1.83,0,0,74,77,-9.0,0.035,1,2022-12-23T19:12:41.240Z
1010658,116036,40.524723,-124.403955,20.072,-18304.2,-4091.9,-654.6,8.7,8.4,12.6,2022,12,21,21,14,36.48,0.82,2,3,0,0,0.004,-9.0,1,2022-12-21T21:14:36.480Z
nc73822856,116038,40.545964,-124.33571,16.751,-12521.0,-1733.3,-3976.2,10.5,9.9,18.2,2022,12,22,1,52,50.69,1.67,2,1,81,47,0.003,0.037,1,2022-12-22T01:52:50.690Z
nc73824316,116039,40.51495,-124.349251,19.549,-13671.1,-5177.2,-1178.3,12.6,12.2,13.8,2022,12,24,21,53,24.64,1.63,0,0,62,24,-9.0,0.04,1,2022-12-24T21:53:24.640Z
1008308,116041,40.522221,-124.407943,18.497,-18642.4,-4369.8,-2230.1,7.3,11.5,18.1,2022,12,20,10,40,16.94,2.91,0,0,32,16,-9.0,0.019,1,2022-12-20T10:40:16.940Z
nc73821326,116043,40.558736,-124.236222,20.187,-4094.0,-314.9,-540.0,7.4,4.4,5.9,2022,12,20,12,16,5.16,2.04,0,0,55,53,-9.0,0.038,1,2022-12-20T12:16:05.160Z
nc73822111,116044,40.5637,-124.073145,19.165,9717.0,236.3,-1562.2,6.3,4.2,5.0,2022,12,21,0,15,31.32,2.88,0,0,31,46,-9.0,0.027,1,2022-12-21T00:15:31.320Z
1009239,116045,40.517916,-124.436784,19.314,-21086.3,-4847.9,-1413.1,5.3,5.7,9.3,2022,12,20,20,38,36.44,1.22,7,9,53,49,0.015,0.024,1,2022-12-20T20:38:36.440Z
nc73840456,116046,40.514193,-124.425627,19.097,-20141.7,-5261.3,-1629.9,12.6,13.0,20.9,2023,2,1,8,26,47.53,1.32,0,4,65,66,0.002,0.036,1,2023-02-01T08:26:47.530Z
1017101,116047,40.537166,-124.338574,17.543,-12764.4,-2710.2,-3183.6,12.5,10.5,16.7,2023,3,31,1,48,56.24,0.92,0,0,57,26,-9.0,0.034,1,2023-03-31T01:48:56.240Z
1015289,116049,40.602787,-124.141642,17.972,3914.9,4576.7,-2755.2,22.8,12.1,16.4,2023,2,2,5,38,31.36,0.92,0,0,35,15,-9.0,0.042,1,2023-02-02T05:38:31.360Z
1015586_20180303_192752,108149,40.499736,-124.328735,18.888,2.1,-29.8,-60.8,5.0,3.8,3.9,2018,3,3,19,27,52.68,0.0,1060,1945,134,228,0.008,0.009,2,2018-03-03T19:27:52.680Z
1015586_20180303_220627,108150,40.501127,-124.330688,18.914,-163.5,124.7,-34.8,7.8,5.2,4.1,2018,3,3,22,6,27.08,0.0,407,1508,15,30,0.006,0.009,2,2018-03-03T22:06:27.080Z
