original_id,synthetic_id
1016790_20140116_003828,100416
1016790_20140117_100114,100417
1016790_20140117_224018,100418
1016790_20140117_110525,100419
1016790_20140124_200909,100420
1016790_20140128_105914,100421
1016790_20140129_161707,100422
1016790_20140130_045326,100423
1016790_20140130_162009,100424
1016790_20140201_182322,100425
1016790_20140204_073254,100426
1016790_20140205_224705,100427
1016790_20140206_001438,100428
1016790_20140206_015837,100429
1016790_20140211_131852,100430
1016790_20140213_052918,100431
1016790_20140214_164833,100432
1016790_20140216_023049,100433
1016790_20140222_102728,100434
1016790_20140223_064049,100435
1016790_20140224_144621,100436
1016790_20140224_121645,100437
1016790_20140227_004229,100438
1016790_20140301_193603,100439
1016790_20140301_022415,100440
1016790_20140301_070407,100441
1016790_20140302_185954,100442
1016790_20140302_173956,100443
1016790_20140302_194017,100444
1016790_20140303_094716,100445
1016790_20140303_083633,100446
1016790_20140306_222619,100447
1016790_20140307_123034,100448
1016790_20140310_170611,100449
1016790_20140310_192554,100450
1016790_20140310_083213,100451
1016790_20140310_141151,100452
1016790_20140311_060628,100453
1016790_20140311_030830,100454
1016790_20140312_233148,100455
1016790_20140313_213446,100456
1016790_20140314_164916,100457
1016790_20140314_164619,100458
1016790_20140317_170955,100459
1016790_20140318_112132,100460
1016790_20140318_012239,100461
1016790_20140318_093242,100462
1016790_20140320_090223,100463
1016790_20140320_204053,100464
1016790_20140324_082555,100465
1016790_20140325_141021,100466
1016790_20140326_062154,100467
1016790_20140331_214950,100468
1016790_20140405_010621,100469
1016790_20140406_173006,100470
1016790_20140408_114425,100471
1016790_20140411_212117,100472
1016790_20140416_150159,100473
1016790_20140418_165414,100474
1016790_20140419_033503,100475
1016790_20140421_161717,100476
1016790_20140424_051205,100477
1016790_20140425_181151,100478
1016790_20140427_092011,100479
1016790_20140429_094141,100480
1016790_20140502_111249,100481
1016790_20140503_151815,100482
1016790_20140503_145542,100483
1016790_20140507_020823,100484
1016790_20140507_030944,100485
1016790_20140509_033338,100486
1016790_20140509_034550,100487
1016790_20140510_131553,100488
1016790_20140512_013138,100489
1016790_20140512_055929,100490
1016790_20140513_210112,100491
1016790_20140513_122948,100492
1016790_20140514_075041,100493
1016790_20140515_215056,100494
1016790_20140515_040655,100495
1016790_20140515_031041,100496
1016790_20140516_073637,100497
1016790_20140519_042541,100498
1016790_20140519_071051,100499
1016790_20140520_094107,100500
1016790_20140522_081050,100501
1016790_20140522_043643,100502
1016790_20140524_082657,100503
1016790_20140529_105958,100504
1016790_20140529_042014,100505
1016790_20140529_130156,100506
