event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1012944,110653,40.532198,-124.405298,18.227,-14662.6,-2002.6,-3200.6,2.1,2.2,3.9,2022,12,26,8,29,16.34,0.84,0,0,59,37,-9.0,0.047,1,2022-12-26T08:29:16.340Z
nc73824326,110654,40.591044,-124.008895,23.216,18910.8,4532.0,1788.4,0.7,0.5,0.3,2022,12,24,22,12,36.48,2.1,1,2,59,81,0.0,0.089,1,2022-12-24T22:12:36.480Z
1018094,110655,40.566256,-124.022819,22.605,17735.0,1779.4,1177.7,0.7,0.6,0.7,2023,4,30,12,38,22.8,0.62,3,0,43,33,0.0,0.075,1,2023-04-30T12:38:22.800Z
1014634,110656,40.583496,-124.199854,25.185,2740.8,3693.8,3757.6,0.3,0.3,0.5,2023,1,20,22,9,27.12,0.94,2,0,0,0,0.0,-9.0,1,2023-01-20T22:09:27.120Z
1013464,110660,40.540141,-124.340535,16.159,-9175.6,-1120.6,-5268.0,0.9,0.9,1.8,2022,12,31,15,5,32.61,1.28,0,0,53,37,-9.0,0.047,1,2022-12-31T15:05:32.610Z
nc73822756,110663,40.580322,-123.955615,24.384,23424.3,3341.4,2956.6,1.1,0.9,1.2,2022,12,21,22,26,11.04,1.39,2,9,27,40,0.006,0.048,1,2022-12-21T22:26:11.040Z
1008845,110664,40.55378,-123.976994,20.835,21618.1,394.0,-592.1,0.9,0.8,1.0,2022,12,20,16,1,13.36,1.61,9,7,46,49,0.006,0.052,1,2022-12-20T16:01:13.360Z
1017316,110665,40.485531,-124.515299,17.164,-23989.7,-7184.8,-4263.4,0.5,0.7,1.3,2023,4,6,4,40,18.96,0.75,2,1,10,3,0.001,0.07,1,2023-04-06T04:40:18.960Z
1013228,110666,40.498291,-124.469157,18.065,-20077.5,-5767.8,-3362.3,0.8,0.7,1.4,2022,12,29,8,32,33.56,1.49,0,0,55,45,-9.0,0.038,1,2022-12-29T08:32:33.560Z
1012576,110667,40.598499,-124.327547,20.876,-8071.9,5359.8,-550.8,0.4,0.3,1.0,2022,12,25,7,56,23.28,0.72,9,5,44,46,0.004,0.048,1,2022-12-25T07:56:23.280Z
1009425,110671,40.586938,-124.09659,23.289,11485.2,4076.1,1862.1,0.6,1.0,0.6,2022,12,20,23,1,57.68,1.31,0,0,37,23,-9.0,0.044,1,2022-12-20T23:01:57.680Z
1017558,110672,40.539872,-124.349308,18.4,-9918.8,-1150.4,-3027.6,0.4,0.3,0.5,2023,4,15,0,7,1.01,0.77,3,0,48,34,0.0,0.078,1,2023-04-15T00:07:01.010Z
1010474,110673,40.589181,-124.235474,20.771,-275.7,4325.1,-656.3,3.8,2.1,4.3,2022,12,21,16,59,16.89,0.92,0,0,3,2,-9.0,0.021,1,2022-12-21T16:59:16.890Z
1011762,110674,40.552405,-124.22487,17.742,622.5,241.3,-3684.9,1.5,0.7,0.7,2022,12,23,5,1,13.75,1.08,0,0,42,35,-9.0,0.036,1,2022-12-23T05:01:13.750Z
1011487,110675,40.703418,-123.931657,22.515,25430.0,17010.6,1088.1,0.5,0.3,0.2,2022,12,22,16,21,36.01,1.66,9,0,22,7,0.0,0.056,1,2022-12-22T16:21:36.010Z
1015120,110676,40.481051,-124.407829,19.917,-14882.6,-7682.3,-1510.0,0.7,0.6,0.9,2023,1,30,10,56,56.52,0.99,3,2,10,9,0.005,0.037,1,2023-01-30T10:56:56.520Z
1011659,110677,40.512358,-124.44056,17.172,-17652.4,-4205.8,-4255.0,1.6,1.4,2.6,2022,12,23,0,10,35.7,1.04,0,0,81,68,-9.0,0.041,1,2022-12-23T00:10:35.700Z
1014120,110678,40.517033,-124.427035,17.159,-16505.9,-3686.6,-4267.8,0.3,0.3,0.5,2023,1,8,2,15,56.56,1.14,2,1,52,49,0.0,0.038,1,2023-01-08T02:15:56.560Z
1017761,110679,40.509094,-124.44034,17.736,-17634.2,-4568.2,-3691.3,0.8,0.7,1.1,2023,4,20,15,36,20.15,0.92,0,3,45,43,0.006,0.039,1,2023-04-20T15:36:20.150Z
1009702,110681,40.638501,-123.91311,21.296,27012.2,9801.9,-131.5,0.5,0.3,0.4,2022,12,21,2,53,42.53,1.6,5,9,31,45,0.003,0.044,1,2022-12-21T02:53:42.530Z
1009996,110683,40.504867,-124.452873,18.796,-18696.7,-5037.6,-2631.4,0.3,0.4,0.6,2022,12,21,8,21,0.92,1.29,2,0,62,44,0.0,0.048,1,2022-12-21T08:21:00.920Z
1015048,110685,40.526644,-124.378451,23.817,-12388.7,-2619.3,2390.1,0.6,0.8,0.6,2023,1,29,2,21,33.98,0.86,4,0,17,14,0.003,0.095,1,2023-01-29T02:21:33.980Z
1009167,110686,40.551237,-124.31141,17.776,-6707.8,111.6,-3650.9,1.5,1.3,1.2,2022,12,20,19,42,50.24,1.43,0,0,53,47,-9.0,0.056,1,2022-12-20T19:42:50.240Z
1012841,110687,40.644796,-124.052677,19.612,15197.3,10500.9,-1815.1,0.4,0.2,0.4,2022,12,26,1,31,33.48,1.21,1,1,30,31,0.0,0.081,1,2022-12-26T01:31:33.480Z
nc73821726,110688,40.68291,-123.881486,22.326,29679.4,14733.3,898.5,0.8,0.8,0.8,2022,12,20,16,7,39.09,2.01,0,0,13,6,-9.0,0.039,1,2022-12-20T16:07:39.090Z
1010829,110689,40.541903,-123.754801,21.793,40441.9,-924.9,365.5,0.7,1.3,0.4,2022,12,22,0,56,27.22,0.68,3,0,3,0,0.005,0.006,1,2022-12-22T00:56:27.220Z
1013249,110692,40.511243,-124.472477,21.42,-20356.9,-4329.6,-7.0,1.4,1.1,1.4,2022,12,29,10,57,23.23,1.08,0,0,21,14,-9.0,0.03,1,2022-12-29T10:57:23.230Z
