event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1018391_20200823_133249,100381,40.316069,-124.623787,17.471,9.7,74.6,-9.2,9.8,25.1,24.8,2020,8,23,13,32,49.62,0.0,11,27,0,0,0.025,-9.0,19,2020-08-23T13:32:49.620Z
1018391_20201029_190243,100382,40.315686,-124.623893,17.424,0.7,32.1,-55.6,20.4,20.4,46.1,2020,10,29,19,2,43.0,0.0,4,18,0,0,0.012,-9.0,19,2020-10-29T19:02:43.000Z
1018391,100778,40.313802,-124.624455,17.408,-47.0,-177.1,-72.2,23.6,34.2,36.7,2023,5,10,10,0,53.0,1.31,12,39,0,0,0.042,-9.0,19,2023-05-10T10:00:53.000Z
1016407_20200318_221412,100619,40.380851,-124.528499,27.738,1.4,5.9,-1.8,8.2,10.8,13.9,2020,3,18,22,14,12.44,0.0,0,23,0,0,0.013,-9.0,20,2020-03-18T22:14:12.440Z
1016407_20200318_224006,100620,40.380949,-124.528507,27.739,0.7,16.7,-0.6,10.8,17.0,15.1,2020,3,18,22,40,6.88,0.0,2,22,0,0,0.015,-9.0,20,2020-03-18T22:40:06.880Z
1016407_20200516_230735,100621,40.380485,-124.52876,27.743,-20.7,-34.8,3.0,9.4,20.7,14.2,2020,5,16,23,7,35.12,0.0,5,22,0,0,0.011,-9.0,20,2020-05-16T23:07:35.120Z
1016407_20200702_040642,100622,40.380782,-124.528564,27.742,-4.1,-1.8,2.1,9.4,17.4,13.0,2020,7,2,4,6,42.66,0.0,6,26,0,0,0.02,-9.0,20,2020-07-02T04:06:42.660Z
1016407_20200720_235426,100623,40.380957,-124.528499,27.747,1.4,17.6,7.3,8.3,19.3,14.0,2020,7,20,23,54,26.14,0.0,17,22,0,0,0.016,-9.0,20,2020-07-20T23:54:26.140Z
1016407_20200804_093527,100624,40.380819,-124.528507,27.743,0.7,2.3,3.0,4.8,7.1,7.4,2020,8,4,9,35,27.1,0.0,14,20,0,0,0.011,-9.0,20,2020-08-04T09:35:27.100Z
1016407_20200822_010017,100625,40.380383,-124.528556,27.726,-3.5,-46.1,-13.6,9.3,14.9,17.7,2020,8,22,1,0,17.68,0.0,11,22,0,0,0.019,-9.0,20,2020-08-22T01:00:17.680Z
1016407_20201221_005626,100626,40.380656,-124.528459,27.731,4.8,-15.8,-8.9,5.4,13.6,10.1,2020,12,21,0,56,26.38,0.0,17,30,0,0,0.012,-9.0,20,2020-12-21T00:56:26.380Z
1016407_20201226_184937,100627,40.380615,-124.528564,27.737,-4.1,-20.3,-3.0,7.8,13.5,11.8,2020,12,26,18,49,37.2,0.0,5,18,0,0,0.019,-9.0,20,2020-12-26T18:49:37.200Z
1016407,100881,40.381283,-124.528288,27.75,19.3,53.8,10.3,10.1,14.2,15.5,2023,3,4,21,15,32.5,1.55,15,31,0,0,0.025,-9.0,20,2023-03-04T21:15:32.500Z
1013423_20200129_081218,100441,40.314941,-124.598739,17.773,6.2,-28.9,-36.5,10.4,24.6,20.4,2020,1,29,8,12,18.9,0.0,7,19,0,0,0.012,-9.0,21,2020-01-29T08:12:18.900Z
1013423_20200314_212633,100442,40.315035,-124.598706,17.809,9.0,-18.5,-0.5,5.1,15.9,11.1,2020,3,14,21,26,33.7,0.0,20,26,0,0,0.016,-9.0,21,2020-03-14T21:26:33.700Z
1013423_20200526_111744,100443,40.315035,-124.598942,17.897,-11.1,-18.5,87.3,8.9,15.8,17.6,2020,5,26,11,17,44.72,0.0,23,18,0,0,0.013,-9.0,21,2020-05-26T11:17:44.720Z
1013423_20200601_130356,100444,40.315523,-124.598804,17.808,0.7,35.7,-1.5,5.1,15.1,11.3,2020,6,1,13,3,56.5,0.0,23,24,0,0,0.016,-9.0,21,2020-06-01T13:03:56.500Z
1013423_20200609_024707,100445,40.315283,-124.598861,17.847,-4.2,9.0,36.7,11.5,22.2,13.0,2020,6,9,2,47,7.88,0.0,20,15,0,0,0.013,-9.0,21,2020-06-09T02:47:07.880Z
1013423_20200705_014916,100446,40.315104,-124.598608,17.721,17.3,-10.8,-89.0,6.2,23.0,21.8,2020,7,5,1,49,16.78,0.0,12,15,0,0,0.012,-9.0,21,2020-07-05T01:49:16.780Z
1013423_20200907_010536,100447,40.315531,-124.598763,17.814,4.2,36.6,3.7,6.3,5.7,10.7,2020,9,7,1,5,36.74,0.0,20,23,0,0,0.013,-9.0,21,2020-09-07T01:05:36.740Z
1013423_20201016_152553,100448,40.315324,-124.598722,17.798,7.6,13.6,-12.0,9.6,15.7,12.0,2020,10,16,15,25,53.42,0.0,17,20,0,0,0.017,-9.0,21,2020-10-16T15:25:53.420Z
1013423,100803,40.314775,-124.598991,17.773,-15.2,-47.4,-37.4,6.3,20.9,19.0,2022,12,31,1,9,23.44,1.24,20,24,0,0,0.026,-9.0,21,2022-12-31T01:09:23.440Z
nc73863320_20200125_142047,100410,40.291695,-124.38938,21.357,11.1,-0.5,-13.1,11.0,10.3,12.5,2020,1,25,14,20,47.82,0.0,0,22,0,0,0.01,-9.0,22,2020-01-25T14:20:47.820Z
nc73863320_20200125_142223,100411,40.291618,-124.38938,21.358,11.1,-9.0,-11.9,13.4,10.6,10.6,2020,1,25,14,22,23.94,0.0,0,22,0,0,0.01,-9.0,22,2020-01-25T14:22:23.940Z
nc73863320_20200313_134440,100412,40.291691,-124.389242,21.33,22.8,-0.9,-40.5,6.4,7.7,10.5,2020,3,13,13,44,40.32,0.0,0,15,0,0,0.008,-9.0,22,2020-03-13T13:44:40.320Z
nc73863320_20200523_161905,100413,40.292957,-124.389404,21.357,9.0,139.6,-12.5,12.9,28.7,10.8,2020,5,23,16,19,5.4,0.0,1,12,0,0,0.018,-9.0,22,2020-05-23T16:19:05.400Z
nc73863320_20200524_120713,100414,40.293787,-124.38938,21.356,11.1,231.8,-13.8,18.8,39.0,14.7,2020,5,24,12,7,13.14,0.0,0,10,0,0,0.021,-9.0,22,2020-05-24T12:07:13.140Z
nc73863320_20200605_120020,100415,40.291467,-124.389535,21.375,-2.1,-25.8,4.9,12.1,22.9,12.3,2020,6,5,12,0,20.42,0.0,0,11,0,0,0.016,-9.0,22,2020-06-05T12:00:20.420Z
nc73863320_20201225_115538,100416,40.291687,-124.389364,21.357,12.5,-1.4,-13.2,12.1,10.8,12.9,2020,12,25,11,55,38.02,0.0,0,22,0,0,0.011,-9.0,22,2020-12-25T11:55:38.020Z
nc73863320_20201225_142557,100417,40.291659,-124.389274,21.348,20.1,-4.5,-21.8,11.7,7.8,9.9,2020,12,25,14,25,57.04,0.0,0,22,0,0,0.011,-9.0,22,2020-12-25T14:25:57.040Z
nc73863320,100795,40.291813,-124.390169,21.406,-56.0,12.7,35.6,17.4,13.0,15.7,2023,3,28,2,26,28.48,2.85,1,30,0,0,0.018,-9.0,22,2023-03-28T02:26:28.480Z
nc73843826_20200109_002518,100227,40.295646,-124.566707,16.944,6.9,71.8,-45.8,7.6,18.4,20.0,2020,1,9,0,25,18.34,0.0,4,17,0,0,0.015,-9.0,23,2020-01-09T00:25:18.340Z
nc73843826_20200109_054055,100228,40.294149,-124.566691,16.973,8.3,-94.4,-16.8,6.3,16.3,12.9,2020,1,9,5,40,55.02,0.0,0,19,0,0,0.008,-9.0,23,2020-01-09T05:40:55.020Z
nc73843826_20200110_161954,100229,40.296537,-124.566569,17.029,18.7,170.8,39.4,7.3,11.6,15.8,2020,1,10,16,19,54.39,0.0,5,21,0,0,0.014,-9.0,23,2020-01-10T16:19:54.390Z
nc73843826_20200511_051803,100230,40.295011,-124.566772,17.013,1.4,1.4,23.2,5.7,11.2,12.8,2020,5,11,5,18,3.18,0.0,6,26,0,0,0.018,-9.0,23,2020-05-11T05:18:03.180Z
nc73843826_20200626_124146,100231,40.295117,-124.566829,16.997,-3.5,13.1,7.3,3.1,4.9,11.4,2020,6,26,12,41,46.88,0.0,3,24,0,0,0.013,-9.0,23,2020-06-26T12:41:46.880Z
nc73843826_20200915_232304,100232,40.29491,-124.566854,16.992,-5.5,-9.9,2.0,3.8,6.7,7.2,2020,9,15,23,23,4.26,0.0,17,42,0,0,0.009,-9.0,23,2020-09-15T23:23:04.260Z
nc73843826_20200926_134523,100233,40.295239,-124.566756,16.968,2.8,26.7,-21.8,4.4,12.5,15.6,2020,9,26,13,45,23.38,0.0,6,25,0,0,0.016,-9.0,23,2020-09-26T13:45:23.380Z
nc73843826_20201007_235711,100234,40.294759,-124.566756,16.956,2.8,-26.7,-33.8,3.5,10.6,10.2,2020,10,7,23,57,11.98,0.0,3,18,0,0,0.014,-9.0,23,2020-10-07T23:57:11.980Z
nc73843826,100756,40.294486,-124.56696,16.98,-14.5,-56.9,-9.7,6.6,12.4,11.9,2023,2,9,8,8,42.8,2.99,14,42,0,0,0.02,-9.0,23,2023-02-09T08:08:42.800Z
