original_id,synthetic_id
1018875_20200331_141502,100532
1018875_20200414_152540,100533
1018875_20200418_082032,100534
1018875_20200531_112409,100535
1018875_20200616_081204,100536
1018875_20200807_092844,100537
1018875_20200807_092826,100538
1018875_20200807_040358,100539
1018875_20200811_222353,100540
1018875_20201021_023732,100541
1018875_20201108_035455,100542
1018875_20201108_013240,100543
1018875_20201202_083333,100544
1018875_20201219_100143,100545
1018875_20210213_040141,100546
1018875_20210327_030708,100547
1018875_20210330_083611,100548
1018875_20210406_111132,100549
1018875_20210507_180329,100550
1018875_20210613_210652,100551
1018875_20210810_100737,100552
1018875_20210819_021436,100553
1018875_20210824_065208,100554
1018875_20211017_121504,100555
1018875_20211017_123826,100556
1018875_20211205_225826,100557
1018875_20220120_020219,100558
1018875_20220221_020922,100559
1018875_20220226_091953,100560
1018875_20220317_103425,100561
1018875_20220405_043752,100562
1018875_20220514_212727,100563
1018875_20220529_062131,100564
1018875_20220707_024645,100565
1018875_20220725_050356,100566
1018875_20220814_035424,100567
1018875_20220824_221419,100568
1018875_20220904_054554,100569
1018875_20220906_070259,100570
1018875_20221106_050349,100571
1018875_20221106_044538,100572
1018875_20221106_044623,100573
1018875_20221123_095956,100574
1014939_20200103_155751,100575
1014939_20200114_010931,100576
1014939_20200216_023806,100577
1014939_20200228_074709,100578
1014939_20200323_141710,100579
1014939_20200324_201018,100580
1014939_20200504_104142,100581
1014939_20200513_051145,100582
1014939_20200609_104706,100583
1014939_20200613_070834,100584
1014939_20200806_004400,100585
1014939_20200806_194119,100586
1014939_20200820_184055,100587
1014939_20200912_215444,100588
1014939_20200912_213716,100589
1014939_20201129_172414,100590
1014939_20210417_102749,100591
1014939_20210426_214639,100592
1014939_20210511_121344,100593
1014939_20210520_013527,100594
1014939_20210615_112724,100595
1014939_20210615_113108,100596
1014939_20210615_115852,100597
1014939_20210615_130916,100598
1014939_20210615_131358,100599
1014939_20210812_115012,100600
1014939_20210814_081815,100601
1014939_20210915_032107,100602
1014939_20210924_081517,100603
1014939_20211010_164624,100604
1014939_20211029_012455,100605
1014939_20211108_104150,100606
1014939_20211115_014635,100607
1014939_20211123_041407,100608
1014939_20211222_025111,100609
1014939_20211231_100437,100610
1014939_20220322_110435,100611
1014939_20220605_082159,100612
1014939_20220817_050621,100613
1014939_20220821_055108,100614
1014939_20221025_212054,100615
1015345_20200103_121332,100616
1015345_20200203_104003,100617
1015345_20200315_192330,100618
1015345_20200328_010109,100619
1015345_20200328_015157,100620
1015345_20200407_080237,100621
1015345_20200407_175755,100622
