ev1,ev2,station,phase,dt_sec,weight
101361,126189,NCHPR,S,-0.013186,0.93
101361,126189,NCCMN,S,-0.013127,0.98
101361,126189,NCJRG,S,-0.01035,0.8
101361,126189,NCHCB,S,-0.009047,0.95
101361,126189,NCJSC,S,-0.019905,0.85
101361,126189,NCHFE,S,-0.011615,0.96
101361,126189,NCCST,S,-0.014015,0.88
101361,126189,NCJBM,S,-0.012091,0.89
101361,126189,NCHOR,S,-0.010041999999999999,0.87
101361,126189,NCHCOb,S,-0.010020999999999999,0.8
101361,126189,NCJSM,S,-0.013645,0.91
101361,126189,NCHAZ,S,-0.011699,0.91
101361,126189,NCJSFa,S,-0.011968999999999999,0.86
101361,126189,NCCPL,S,-0.012214,0.94
101361,126189,NCHFH,S,-0.009307,0.97
101361,126189,NCJPPa,S,-0.01253,0.84
101361,126189,NCHDLb,S,-0.012830999999999999,0.93
101361,126189,NCCDO,S,-0.017009,0.73
101361,126189,NCCLC,S,-0.006600999999999999,0.76
101361,126189,NCHFP,S,-0.005188999999999999,0.85
101361,126189,NCHJS,S,-0.005778999999999999,0.72
101361,126189,NCBVY,S,0.0021390000000000003,0.94
101361,126189,NCHQR,S,-0.00349,0.95
101361,126292,NCCSC,P,-0.010661,0.866
101361,126292,NCCADa,P,0.013647,0.831
101361,126292,NCJST,P,0.0005760000000000001,0.725
101361,126292,NCJCB,P,0.009257000000000001,0.866
101361,126292,NCCML,P,-0.02034,0.966
101361,126292,NCCAL,P,-0.022061,0.729
101361,126292,NCJRR,P,0.010757999999999997,0.878
101361,126292,NCJEC,P,0.010023999999999998,0.877
101361,126292,NCHGW,P,0.01559,0.935
101361,126292,NCCDV,P,-0.022009,0.955
101361,126292,NCCMJ,P,-0.023937,0.839
101361,126292,NCJBZ,P,-0.0005290000000000017,0.898
101361,126292,NCCMR,P,-0.035555,0.866
101361,126292,NCHPR,P,0.008279000000000002,0.854
101361,126292,NCCVA,P,-0.023249,0.903
101361,126292,NCCST,P,-0.016473,0.845
101361,126292,NCJBM,P,-0.015243,0.784
101361,126292,NCHAZ,P,0.009744000000000003,0.841
101361,126292,NCJPPa,P,-0.013949,0.787
101361,126292,NCHDLb,P,0.008465,0.923
101361,126292,NCCLC,P,-0.017787,0.734
101361,126292,NCHFP,P,0.010792000000000003,0.765
101361,126292,NCBVY,P,0.012711,0.836
101361,126292,NCCAO,S,-0.0022039999999999976,0.72
101361,126292,NCCADa,S,0.031547,0.77
101361,126292,NCJST,S,-0.0019609999999999975,0.82
101361,126292,NCJCB,S,0.021262999999999997,0.82
101361,126292,NCCML,S,-0.034025,0.92
101361,126292,NCCAL,S,-0.036868,0.75
101361,126292,NCJAL,S,0.004358000000000001,0.78
101361,126292,NCHSP,S,0.022292,0.72
101361,126292,NCCMM,S,-0.017496,0.86
101361,126292,NCJSS,S,-0.005076999999999998,0.89
101361,126292,NCHGS,S,0.023465999999999994,0.83
101361,126292,NCJEC,S,0.010425999999999998,0.83
101361,126292,NCCDV,S,-0.034175,0.9
101361,126292,NCCMP,S,0.002445999999999997,0.95
101361,126292,NCCMR,S,-0.052065,0.87
101361,126292,NCJBC,S,-0.0018789999999999987,0.85
101361,126292,NCHPR,S,0.014778,0.77
101361,126292,NCCVA,S,-0.035651,0.93
101361,126292,NCCST,S,-0.019366,0.71
101361,126292,NCHAZ,S,0.018896999999999997,0.73
101361,126292,NCJUC,S,-0.0026730000000000018,0.75
101361,126389,NCCSC,P,-0.008995,0.821
101361,126389,NCCADa,P,0.022405,0.751
101361,126389,NCJCB,P,0.018579000000000002,0.727
101361,126389,NCCML,P,-0.012237999999999999,0.944
101361,126389,NCCAL,P,-0.014134,0.704
